RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
9893,15796370,Shah,397.0910178,Spain,Male,34,9.853441492,0,1,0,0,216553.4125,0
4311,15657881,Onyemere,548.7087933,France,Male,41,12.65649162,42487.396,1,0,1,399989.7118,0
7272,15581871,Butler,455.4111184,Germany,Male,76,27.9882564,135525.0589,1,1,1,627730.3626,0
5114,15616152,Pai,503.4203721,France,Female,,9.600114394,25778.46197,1,1,0,427519.5389,0
432,15743040,Kuznetsova,582.2192353,Germany,Male,55,9.931869722,104789.8163,,0,0,735884.7588,0
8910,15705085,Quesada,487.5613296,Spain,Female,57,28.75163827,23015.27556,2,1,0,206753.7867,0
7915,15777179,Ellis,460.9925941,France,Male,44,16.74497464,0,1,1,1,247874.9236,0
6821,15685019,Graham,413.2136609,France,Male,25,7.50168963,109107.9298,1,1,0,197873.572,0
584,15753719,Rickards,492.4044069,Germany,Female,32,14.92056449,86823.81653,,0,0,155700.7348,0
511,15568506,Forbes,485.1414983,Germany,Female,46,17.14240898,81084.11389,,0,0,454854.7956,0
170,15611325,Wood,486.1323225,Germany,Male,51,18.9499024,143422.9752,,0,0,311472.8921,0
7519,15779207,Nnamdi,439.0162269,Germany,Male,70,11.97847748,104058.0643,1,1,1,568725.7396,0
7668,15606554,Douglas,507.5141918,France,Male,75,11.10249443,31958.41554,1,1,1,426471.5907,0
2421,15783305,Franklin,479.446551,France,Female,31,17.04696927,111651.6912,1,1,0,526784.231,0
2217,15627484,Obielumani,509.8983187,France,Female,49,11.60146986,157682.1518,1,1,0,616565.9706,0
2975,15746737,Eames,378.6768479,Germany,Male,,17.46609884,0,1,1,1,301972.8885,0
8588,15649457,Macleod,425.9372716,Germany,Male,,13.43558328,30225.75028,2,1,1,419525.7287,0
4662,15670416,Ferri,500.1408297,France,Female,48,5.567292256,0,1,0,1,154366.9418,0
3074,15614420,Gerasimova,470.1772984,Germany,Female,43,7.21663178,91061.60413,1,1,1,530615.9723,0
3420,15684103,Mellor,429.821168,France,Female,67,25.7187036,0,2,1,1,297675.2677,0
7187,15565996,Arnold,420.5436197,France,Male,78,14.74610459,43363.42687,1,1,1,317115.1916,0
2268,15666823,Nebechi,416.9611815,France,Male,77,21.6961675,106684.4674,2,1,1,604696.6162,0
6409,15738497,Chukwujamuike,491.8910964,Spain,Male,25,5.773004622,16305.96392,1,1,0,248989.3086,1
897,15733119,Mistry,481.9837064,France,Male,41,20.26052329,11178.84531,,0,0,206919.8662,0
7620,15758477,Tobeolisa,437.2267781,France,Female,52,11.18487765,8890.664899,1,1,0,266400.7497,0
7983,15665129,Kapustin,404.4516887,Germany,Male,34,8.512150294,0,1,0,1,179334.0761,0
9705,15759872,L?,450.5991907,France,Male,53,21.99983951,15802.53058,2,1,1,315849.0875,0
7868,15697201,Yocum,436.2922852,Spain,Female,576,8.106211142,62361.54675,1,1,1,453732.5787,0
8816,15710034,T'ao,493.6064819,Germany,Male,52,10.6492661,170546.6228,2,0,1,658426.7939,0
1866,15636572,Christmas,515.0537554,France,Female,60,19.84139163,35402.29805,2,1,1,321497.863,0
4597,15767908,Nicholson,469.7812444,France,Male,34,16.59661068,102774.6247,2,0,0,399492.978,0
1891,15796969,Lahti,567.3893986,France,Male,68,16.05344278,92709.41681,2,1,1,681491.7951,0
6724,15766810,Onyemauchechi,477.4445389,Germany,Female,62,12.10316172,20124.31931,2,1,1,399926.1011,0
7181,15632789,Maclean,601.7751538,France,Male,,21.91195627,52357.13275,1,1,1,622497.9429,0
7758,15641585,Newton,657.848872,France,Male,52,15.90689318,23119.75374,1,0,1,292564.7745,0
4962,15632521,Cattaneo,456.9286579,Germany,Male,40,8.137880784,0,2,1,1,188611.6104,0
1857,15690925,McIntosh,405.1134212,Spain,Female,30,8.812878835,7173.348242,1,1,0,275886.7873,1
2362,15635776,Trevisani,456.0312531,Germany,Female,63,15.17172255,0,2,1,1,312593.174,0
4202,15621227,Hs?eh,508.5712031,Germany,Female,32,12.09020953,83976.14976,1,1,1,379382.4468,0
6564,15780359,Storey,485.8262656,Germany,Male,31,10.96308168,105591.0828,1,1,1,307011.5384,0
7416,15635598,Hsieh,639.8015396,France,Male,59,13.73510188,78796.66153,1,0,1,424625.5589,0
9879,15770041,Manna,492.5818716,Spain,Female,22,12.38045622,34147.73318,1,0,1,258203.4182,0
7843,15702416,Cecil,481.6195437,France,Male,46,17.76313529,53056.13828,1,1,0,283065.5675,0
2273,15570835,Fallaci,452.0795551,Germany,Female,40,11.43715015,129710.4668,1,1,1,275041.2876,0
4165,15706170,Onyemere,476.8217445,France,Male,38,9.182234683,49861.94134,1,0,0,164702.9497,0
6035,15601045,Angelo,485.0859638,Spain,Male,51,23.43699435,83481.70696,2,1,0,378015.9343,0
9907,15776518,Pugh,377.2388372,France,Female,52,16.30947471,0,1,1,1,613421.7732,0
4621,15798960,Meng,479.3410835,France,Male,46,6.245063067,36613.94734,1,0,1,432207.5642,0
9334,15714680,Bianchi,562.58131,France,Female,68,14.60078274,44001.33036,1,1,1,782588.6735,0
9461,15581089,Knight,487.5862493,Spain,Male,46,16.66500938,0,2,1,1,213181.4229,0
5632,15782758,Ozerova,502.5133079,France,Male,,14.71491184,92238.23333,1,1,1,346741.8437,0
3700,15577700,Rapuokwu,581.6505623,France,Male,68,28.00141488,243112.3195,1,1,1,569238.4731,0
5024,15615254,Clark,393.0118376,France,Male,,25.00858398,0,1,1,0,270306.1097,0
2621,15685300,Meng,451.2803368,France,Male,30,11.63894859,35803.7399,1,1,0,269857.6893,0
5284,15799815,Bobrov,455.1402643,Germany,Female,64,19.26334639,76203.71971,1,1,1,565528.7917,0
2027,15603088,Rossi,395.040138,Spain,Female,37,22.31377796,0,1,0,1,106980.4687,0
4788,15752885,Nnonso,440.6630724,France,Male,41,3.978834455,99077.4756,1,1,1,382803.3565,0
3874,15616240,Yeh,397.0198944,Spain,Male,41,9.557003082,32111.7509,2,1,1,426577.977,0
8039,15756824,Giordano,494.8262834,Germany,Female,29,10.2131571,158400.6699,1,1,0,510029.2407,0
7481,15812766,Golubeva,502.3653861,Spain,Male,27,10.41788014,179153.1438,1,0,0,475301.4918,1
9344,15798749,Davidson,730.3713561,Germany,Female,71,14.35439841,138485.1211,2,1,0,825593.6495,0
5775,15618245,Chukwumaobim,457.186504,Germany,Male,66,13.39359737,0,2,1,1,329099.3484,0
9296,15740868,Pirogova,474.0680186,Germany,Female,,21.97492086,97369.54782,1,1,1,444390.8562,0
5469,15738150,Chidozie,413.6672051,France,Male,31,10.50348582,17204.60291,1,1,1,377598.9312,0
1228,15613844,Murphy,477.1085442,France,Female,,13.90523939,135004.4032,2,1,1,390994.1275,0
5638,15793343,Yeh,407.4158834,France,Female,,24.70426883,10342.7759,1,1,1,249747.963,0
2506,15720284,Crawford,444.7476173,Germany,Female,,14.30995273,31437.74791,1,0,0,296928.3867,0
807,15613319,Rice,600.8371655,France,Female,43,5.963600784,47930.65054,,0,0,419633.0674,0
1713,15744983,Burgmann,511.793489,Spain,Male,37,4.338869826,78442.82288,1,1,1,359901.9281,0
8146,15708904,Yermakova,729.8809858,France,Female,28,15.06382778,70630.31025,1,1,0,475881.4961,0
19,15661507,Muldrow,489.4515842,Spain,Male,68,16.07701651,133830.2253,,0,0,618292.9301,0
2058,15679550,Chukwualuka,460.0402306,France,Male,35,23.14529722,15839.84082,1,1,0,416542.399,0
6490,15711352,Endrizzi,634.4252828,France,Female,56,7.381486111,56297.66397,1,1,1,434318.4349,0
6190,15572408,Chambers,501.186316,Germany,Male,52,10.97263422,64146.88751,1,1,0,334739.3224,0
136,15584518,Arthur,522.886162,Germany,Female,58,16.42109452,152482.7216,,0,0,731557.0117,0
3675,15749693,Ugonnatubelum,462.2729799,France,Female,,19.34840842,57589.76869,2,1,0,270378.4175,0
24,15725737,Mosman,522.1931567,France,Male,62,9.346156576,51181.00951,,0,0,381649.3017,0
5398,15638513,Palermo,482.5914828,France,Female,43,11.81802552,103374.9646,1,0,0,312761.2982,0
681,15780804,Nucci,395.2820876,France,Male,73,21.30820982,20642.75085,,0,0,337902.4077,0
6398,15675888,Austin,391.9722028,Spain,Female,39,14.92792242,44386.8468,1,1,1,230693.5624,0
8101,15631217,Young,483.3535368,France,Male,47,12.16016252,78354.55082,1,0,1,365186.9009,0
7601,15762392,Ilyina,506.6347876,Spain,Male,54,7.478525052,93876.86241,1,1,1,491779.8016,0
5442,15602979,Lin,467.9311981,France,Male,31,8.964214501,0,1,1,0,189931.8476,0
3093,15689751,Jones,476.7661226,France,Female,48,10.26464854,23880.88653,1,0,0,377279.4307,0
5838,15657603,Finch,625.0865971,France,Female,41,12.17430585,43482.71746,1,1,0,422814.9731,0
3218,15623502,Morrison,475.2559642,Spain,Female,66,18.68580602,107165.6362,1,1,1,494261.8806,0
2765,15597265,Mao,469.2748,France,Male,44,23.12667995,19058.62341,2,1,1,335620.9878,0
7665,15679622,Clayton,425.6010403,France,Male,38,14.73871004,60486.38204,1,1,1,156222.7654,0
283,15643024,Huang,377.0499437,Germany,Male,32,7.905567541,0,,0,0,223090.4456,0
4474,15713532,Wang,495.7430432,Germany,Female,45,8.807787998,107650.7818,1,1,1,321762.7366,0
5266,15707488,Tan,421.6516533,France,Female,63,16.6053218,33666.61932,1,1,0,449508.9974,0
6915,15808849,T'ien,497.9876478,France,Male,,17.98081737,72813.62584,1,1,1,503178.5052,0
475,15603156,Elewechi,420.8325462,France,Female,34,7.049571173,60458.56598,,0,0,238113.196,0
2639,15698619,Bowhay,429.518751,France,Male,59,26.54334697,6866.062267,2,1,1,234727.9635,0
1827,15573893,Barry,436.8193381,Germany,Male,,25.06106293,68529.1578,1,1,1,347618.0481,0
5663,15659937,Otutodilinna,469.2083926,France,Female,56,22.47502553,48433.30547,3,0,1,487528.1636,0
5390,15682728,Mathews,532.347795,France,Female,45,13.61491688,0,1,0,1,306244.0634,0
3939,15723717,Heath,492.8647529,Germany,Male,58,7.733776562,161754.7448,1,0,0,498094.2254,1
7464,15667934,Moretti,421.9338214,France,Male,46,5.830623076,23266.4265,1,1,0,388782.2255,0
4139,15714355,Sinclair,567.7141991,Germany,Male,28,12.75440007,124750.6122,1,0,1,363652.3664,0
3202,15637593,Greco,547.5809135,France,Male,42,11.81037129,38860.18622,1,1,0,291905.4355,0
4250,15712938,Genovese,413.168336,France,Male,70,16.72603622,40102.86612,2,1,1,412886.3378,0
5336,15596649,Bailey,417.6388569,France,Female,30,15.57226602,0,1,1,0,139047.1824,0
