RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6038,15626452,Beatham,711,Spain,Male,32,5,0,2,1,1,147720.27,0
6553,15636407,Beatham,793,Germany,Female,34,5,127758.09,1,1,0,143357.03,0
6320,15768340,Beavers,642,Germany,Female,19,3,113905.48,1,1,1,176137.2,0
7917,15610936,Becher,562,France,Male,33,6,0,2,1,0,111590.35,0
9681,15655335,Becher,590,France,Male,36,1,0,2,1,0,48876.84,0
9229,15749679,Beck,699,France,Male,39,2,109724.38,1,1,1,180022.39,0
4953,15731543,Becker,679,Spain,Male,58,9,109327.65,1,1,1,3829.13,0
2165,15794479,Becker,767,Spain,Male,,8,149083.7,1,1,1,190146.83,0
2647,15582944,Becker,425,Spain,Female,39,5,0,2,1,0,140941.47,0
878,15800228,Bednall,652,Spain,Female,42,4,0,,1,1,38152.01,0
8661,15790594,Bednall,535,France,Female,27,6,0,2,0,1,49775.58,0
9716,15762573,Bednall,680,Spain,Female,34,7,0,2,1,0,98949.85,0
9523,15664504,Beede,418,France,Male,35,7,0,2,1,1,88878.15,0
2103,15802351,Beers,755,Germany,Female,33,6,90560.3,2,1,1,42607.69,0
8040,15773520,Begg,672,France,Female,43,4,92599.55,2,1,1,167336.78,0
7208,15570990,Begley,520,Spain,Female,30,4,145222.99,2,0,0,145160.96,0
85,15738751,Beit,493,France,Female,46,4,0,,1,0,1907.66,0
4020,15592091,Belbin,620,Spain,Male,31,2,166833.86,2,1,1,135171.6,0
5417,15809830,Belisario,630,France,Male,50,8,0,2,0,1,79377.45,0
1706,15612771,Bell,452,France,Male,35,4,148172.44,1,1,1,4175.68,0
4163,15673584,Bell,652,France,Female,74,5,0,2,1,1,937.15,0
2731,15730339,Bell,670,Spain,Male,30,3,133446.34,1,0,0,3154.95,0
6224,15679429,Bell,694,France,Male,32,0,91956.49,1,1,1,59961.81,0
6674,15736299,Bell,729,France,Female,36,8,109106.8,1,0,0,121311.12,0
1767,15645543,Bell,636,France,Female,34,3,0,2,1,1,44756.25,0
2563,15646566,Bell,763,France,Female,58,9,187911.55,1,0,1,35825.18,0
637,15603323,Bell,660,Spain,Female,33,1,0,,0,0,117834.91,0
7491,15703177,Bell,654,France,Female,35,2,90865.8,1,1,1,86764.46,0
8310,15599976,Bellasis,749,France,Female,27,9,0,2,1,0,132734.87,0
2161,15586821,Bellew,727,France,Male,28,5,0,2,0,1,19653.08,0
2137,15621893,Bellucci,727,France,Male,18,4,133550.67,1,1,1,46941.41,0
3755,15572792,Bellucci,535,Spain,Male,35,8,118989.92,1,1,1,135536.72,0
9069,15692235,Bellucci,750,France,Female,38,1,0,2,1,0,47764.99,0
607,15661249,Bellucci,699,France,Male,53,4,0,,0,1,111307.98,0
1865,15805312,Bellucci,607,France,Male,,7,123859.6,1,0,1,113051.57,0
892,15780140,Bellucci,435,Germany,Male,32,2,57017.06,,1,1,5907.11,0
6671,15667932,Bellucci,758,Spain,Female,,10,0,2,1,1,55313.44,0
1840,15761374,Bellucci,706,France,Male,54,9,117444.51,1,1,1,186238.85,0
9544,15613518,Bellucci,647,France,Female,,6,112668.7,1,0,1,122584.29,0
3395,15668460,Bellucci,466,France,Male,29,6,0,2,1,1,2797.27,0
3908,15658890,Belonwu,603,Germany,Male,46,4,98899.76,2,1,1,86190.34,0
9137,15688984,Belonwu,595,France,Male,20,4,95830.43,1,1,0,177738.98,0
4528,15593900,Belousov,705,France,Male,38,1,189443.72,1,0,1,106648.58,0
4916,15594409,Belov,710,France,Male,45,1,0,2,1,1,36154.66,0
6909,15610653,Belov,733,Spain,Female,38,5,0,2,1,1,1271.51,0
7380,15607746,Belstead,573,France,Female,36,1,0,1,1,1,56905.38,0
516,15746902,Belstead,793,Spain,Male,38,9,0,,1,0,88225.02,0
766,15812351,Beluchi,710,Spain,Female,27,2,135277.96,,1,0,142200.15,0
7864,15659677,Beluchi,746,France,Male,47,8,142382.03,1,1,1,62086.62,0
3955,15758755,Beneventi,729,France,Female,34,9,132121.71,1,0,1,105409.31,0
9674,15784148,Beneventi,643,France,Male,62,9,0,2,0,0,155870.82,0
693,15665238,Beneventi,745,Germany,Male,36,8,145071.24,,0,0,6078.46,0
4316,15763980,Beneventi,632,Germany,Male,30,1,58668.02,1,1,1,78670.52,0
6212,15793116,Beneventi,502,Germany,Female,40,7,117304.29,1,0,0,196278.32,0
9535,15795488,Beneventi,773,Spain,Male,52,2,0,2,1,0,57337.79,0
9524,15790322,Beneventi,660,France,Female,,0,114668.89,1,1,0,84605,0
6322,15689096,Beneventi,590,France,Male,47,0,117879.32,1,1,1,8214.46,0
1592,15631813,Beneventi,621,France,Male,39,6,0,2,1,1,58883.91,0
3413,15782802,Beneventi,582,Germany,Male,26,6,114450.32,1,1,1,14081.64,0
3159,15811177,Beneventi,643,France,Female,31,3,167949.48,1,1,0,143162.34,0
1174,15808182,Beneventi,478,Spain,Female,36,3,92363.3,2,1,0,44912.7,0
9662,15742019,Benford,675,France,Female,39,6,0,2,0,0,83419.15,0
